block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
441,FAJAR RD,1.38322219117287,103.770836884573,,,,,,2173.620470438652,2977.4217260012715,2840.1541640178,2279.1640178003813,2264.4401053491965,2418.3089637635094,2083.3333333333335,1951.1423235855054,1884.2776541640176,1930.149396058487,,2115.3846153846152,1865.3846153846157,2228.623649078195,2536.925196016105,2915.646853146853,3557.692307692308,3807.692307692308,,3269.230769230769,3317.3076923076924,3336.538461538461,3269.230769230769,3438.01652892562,,3339.7171010807374,4102.232994278449,4297.520661157025,4663.461538461538,
441,HOUGANG AVE 8,1.37845287132509,103.893940438799,,,,,,2789.115646258504,,,3084.4155844155844,2792.2077922077924,3390.410958904109,,,,2363.6363636363635,,,,,,3535.8477139299057,,,,,,4675.324675324675,4739.726027397261,,4520.54794520548,,,5127.993663218712,,
441,JURONG WEST AVE 1,1.35132731535599,103.720383123794,,796.0467205750224,812.8717103254563,1331.9951507291223,1509.7550114540406,1976.3530311249674,2472.1641310039154,2637.594297989975,2359.621072295097,2109.7981570620937,2142.7518427518426,1924.246883230737,1792.1169933443243,1728.4495439835246,1958.574495892457,2000.0,2017.6816412718088,2217.6594069797957,,2948.674636174636,3085.573811301967,3737.864077669903,,4294.148517449488,3660.485347985348,,3749.644153220816,,3343.938598792968,3086.9585511575797,3155.339805825243,3566.358307382304,4233.6050558710385,,
441A,FERNVALE RD,1.39109783626623,103.875166223525,,,,,,,,,,,,,,,,,,,,,,,,,,4763.596903504322,4871.98109078611,4560.055736259073,4338.709677419355,4561.0396586195575,4675.169678944559,4813.620071684588,6279.833487511563,6692.145862552595,
441A,CLEMENTI AVE 3,1.31463913092209,103.764797687774,,,,,,,,,,,,,,,,,,,,,,,,,,9677.41935483871,8951.461769115442,8500.823009616217,8937.664200883535,8643.148926237162,8701.149425287354,,10238.521739130436,11223.76311844078,
441B,FERNVALE RD,1.39121038063113,103.874688908059,,,,,,,,,,,,,,,,,,,,,,,,,,5034.251550347758,5466.382978723404,4721.624256995927,4859.697810669133,4536.860658404988,5089.467975689575,5339.206024051804,6351.471987639216,6700.336979897149,6618.347826086957
441B,CLEMENTI AVE 3,1.31457621542956,103.764158883788,,,,,,,,,,,,,,,,,,,,,,,,,6500.0,9514.682471264368,9329.985119047618,8934.75068361822,8713.494601653445,9244.590041030531,8985.71771155112,9036.52841781874,9838.375973303671,11285.714285714286,
441C,FERNVALE RD,1.39220060795465,103.874778712417,,,,,,,,,,,,,,,,,,,,,,,,,,4776.785582843445,4846.210378681627,4910.980702853789,4900.93037443758,5113.978494623656,4701.143836683808,5588.578190743338,6163.93953560854,6570.535918554107,6365.591397849463
441D,FERNVALE RD,1.39209223539636,103.875248015845,,,,,,,,,,,,,,,,,,,,,,,,,,4965.384952747311,4620.041187470781,4321.084618980832,4486.388618662529,4580.820062400738,4446.236559139785,5146.278771647121,6451.612903225807,6391.304347826087,6555.867227676485
442,CHOA CHU KANG AVE 4,1.38093969896376,103.737733890511,,,,,,,,,,,,2397.962318585281,2302.2901095883053,2236.169485586877,2182.2344322344325,2199.7049247049245,2238.2856213834475,2358.1481481481483,2731.3186813186812,2968.6113886113885,3417.2893772893776,3868.03121516165,4184.249084249084,4238.400488400488,3932.8815628815632,3630.0,3679.120879120879,3470.3703703703704,3475.0188034188036,,3534.5494505494507,4540.496540496541,4551.111111111111,4952.528693528693,
