block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10,LOR 7 TOA PAYOH,1.33716527577086,103.857228807914,,,,,,,,,,,,,12.0,8.0,5.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,4.0,,2.0,1.0,1.0,2.0,,1.0,2.0,,5.0,,
10,MARSILING DR,1.44080567418722,103.777318569996,7.0,4.0,1.0,3.0,6.0,4.0,7.0,4.0,6.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,6.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,,
10,PINE CL,1.30915239429837,103.882242524292,1.0,1.0,1.0,5.0,5.0,2.0,4.0,4.0,9.0,12.0,3.0,4.0,5.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,4.0,,,,1.0,2.0,2.0,1.0,2.0,6.0,1.0,5.0,1.0,
10,REDHILL CL,1.2850089977513417,103.81611144520734,2.0,2.0,1.0,,,,1.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,
10,ST. GEORGE'S RD,1.3237464881506,103.863412150847,1.0,,,,,1.0,,2.0,1.0,,,,,,2.0,,2.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,
10,TECK WHYE AVE,1.3804705505783,103.755211075265,9.0,11.0,11.0,2.0,8.0,8.0,11.0,10.0,16.0,11.0,6.0,12.0,5.0,12.0,16.0,6.0,1.0,8.0,8.0,5.0,6.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,1.0,3.0,3.0,7.0,4.0,1.0
10,TELOK BLANGAH CRES,1.27773153190563,103.819769431353,2.0,5.0,2.0,1.0,,2.0,3.0,3.0,7.0,5.0,4.0,2.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,1.0,4.0,
10,TOH YI DR,1.33753956576437,103.773161066389,,,,,9.0,2.0,1.0,3.0,2.0,2.0,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,,,2.0,
10,EUNOS CRES,1.32228655863069,103.902720513959,2.0,4.0,6.0,3.0,7.0,6.0,14.0,6.0,10.0,11.0,6.0,8.0,10.0,6.0,4.0,3.0,6.0,6.0,6.0,7.0,2.0,1.0,5.0,7.0,2.0,8.0,5.0,6.0,1.0,7.0,1.0,4.0,7.0,8.0,
10,GLOUCESTER RD,1.31391658721969,103.852209769739,5.0,5.0,6.0,9.0,5.0,4.0,14.0,10.0,12.0,12.0,14.0,4.0,4.0,8.0,5.0,8.0,10.0,6.0,5.0,7.0,4.0,5.0,5.0,5.0,6.0,5.0,2.0,2.0,3.0,2.0,3.0,7.0,4.0,3.0,
10,HOLLAND AVE,1.30814997104794,103.794275184926,2.0,1.0,2.0,,2.0,3.0,3.0,3.0,8.0,2.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,,2.0,2.0,6.0,,3.0,
10,JLN BATU,1.30204488252464,103.882887148325,1.0,5.0,10.0,8.0,7.0,12.0,10.0,24.0,17.0,17.0,4.0,1.0,2.0,4.0,,3.0,6.0,6.0,3.0,6.0,13.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,4.0,8.0,2.0,4.0,
10,JLN BT HO SWEE,1.2874593681012665,103.83266747455478,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,,2.0,4.0,1.0,1.0,,1.0,,3.0,,
10,JLN KUKOH,1.28697383443982,103.839075823483,5.0,4.0,4.0,3.0,4.0,1.0,6.0,6.0,3.0,12.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,7.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,,,3.0,2.0,4.0,1.0,2.0
10,JLN RUMAH TINGGI,1.2883336541158985,103.80840354089474,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,2.0,1.0,,,1.0,,4.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,
10,JOO SENG RD,1.33461833377098,103.88016502252,5.0,3.0,3.0,6.0,9.0,4.0,6.0,6.0,6.0,8.0,6.0,3.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,,2.0,3.0,2.0,,3.0,1.0,1.0,3.0,3.0,2.0,,4.0,2.0,4.0,
10,SELEGIE RD,1.30370879401398,103.850537238747,2.0,3.0,2.0,1.0,1.0,,3.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,,2.0,1.0
10,TEBAN GDNS RD,1.3221170373437003,103.7428882792039,8.0,2.0,5.0,1.0,3.0,7.0,6.0,3.0,12.0,10.0,9.0,6.0,2.0,4.0,3.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,
